,0,1
0,983,1
1,351,1
2,649,1
3,877,1
4,1005,0
5,476,1
6,827,1
7,283,1
8,814,1
9,843,1
10,88,1
11,808,1
12,571,1
13,39,1
14,278,1
15,654,1
16,848,1
17,31,1
18,173,1
19,848,1
20,672,1
21,809,1
22,307,1
23,839,1
24,144,1
25,741,1
26,90,1
27,213,1
28,72,1
29,673,1
30,439,1
31,93,1
32,403,1
33,955,1
34,321,1
35,332,1
36,205,1
37,419,1
38,427,1
39,792,1
40,191,1
41,125,1
42,264,1
43,520,1
44,697,1
45,530,1
46,148,1
47,625,1
48,891,1
49,65,1
50,508,1
51,673,1
52,400,1
53,963,1
54,444,1
55,746,1
56,515,1
57,1003,0
58,380,1
59,306,1
60,407,1
61,718,1
62,674,1
63,271,1
64,1015,0
65,864,1
66,162,1
67,708,1
68,676,1
69,968,1
70,418,1
71,526,1
72,819,1
73,843,1
74,417,1
75,142,1
76,704,1
77,845,1
78,475,1
79,767,1
80,500,1
81,604,1
82,896,1
83,265,1
84,158,1
85,1,1
86,156,1
87,823,1
88,695,1
89,733,1
90,515,1
91,355,1
92,481,1
93,1010,0
94,1015,0
95,305,1
96,621,1
97,872,1
98,22,1
99,189,1
100,316,1
101,60,1
102,850,1
103,322,1
104,248,1
105,606,1
106,307,1
107,963,1
108,945,1
109,869,1
110,528,1
111,49,1
112,794,1
113,555,1
114,135,1
115,154,1
116,605,1
117,878,1
118,730,1
119,299,1
120,71,1
121,762,1
122,606,1
123,878,1
124,58,1
125,383,1
126,699,1
127,653,1
128,595,1
129,823,1
130,968,1
131,1015,0
132,705,1
133,870,1
134,46,1
135,277,1
136,747,1
137,1004,0
138,190,1
139,972,1
140,28,1
141,184,1
142,1021,0
143,3,1
144,241,1
145,465,1
146,287,1
147,420,1
148,9,1
149,276,1
150,218,1
151,719,1
152,832,1
153,460,1
154,858,1
155,777,1
156,665,1
157,727,1
158,949,1
159,512,1
160,820,1
161,946,1
162,644,1
163,758,1
164,404,1
165,659,1
166,585,1
167,224,1
168,59,1
169,1021,0
170,601,1
171,93,1
172,575,1
173,1003,0
174,946,1
175,690,1
176,302,1
177,369,1
178,675,1
179,136,1
180,543,1
181,716,1
182,1,1
183,789,1
184,1021,0
185,743,1
186,636,1
187,720,1
188,538,1
189,508,1
190,734,1
191,725,1
192,135,1
193,139,1
194,371,1
195,442,1
196,351,1
197,51,1
198,320,1
199,213,1
200,855,1
201,921,1
202,420,1
203,261,1
204,333,1
205,610,1
206,36,1
207,745,1
208,538,1
209,740,1
210,647,1
211,547,1
212,801,1
213,122,1
214,844,1
215,630,1
216,555,1
217,244,1
218,193,1
219,523,1
220,4,1
221,420,1
222,423,1
223,252,1
224,36,1
225,135,1
226,116,1
227,382,1
228,296,1
229,487,1
230,573,1
231,718,1
232,552,1
233,665,1
234,458,1
235,728,1
236,360,1
237,659,1
238,996,1
239,817,1
240,937,1
241,632,1
242,939,1
243,933,1
244,762,1
245,621,1
246,1014,0
247,838,1
248,23,1
249,836,1
250,197,1
251,161,1
252,842,1
253,521,1
254,626,1
255,856,1
256,367,1
257,1020,0
258,183,1
259,338,1
260,312,1
261,667,1
262,478,1
263,897,1
264,204,1
265,908,1
266,150,1
267,817,1
268,516,1
269,663,1
270,634,1
271,529,1
272,598,1
273,418,1
274,1025,0
275,268,1
276,164,1
277,1000,1
278,90,1
279,190,1
280,332,1
281,189,1
282,474,1
283,137,1
284,531,1
285,353,1
286,31,1
287,25,1
288,502,1
289,254,1
290,738,1
291,429,1
292,886,1
293,801,1
294,72,1
295,436,1
296,376,1
297,759,1
298,687,1
299,53,1
300,994,1
301,839,1
302,94,1
303,629,1
304,37,1
305,261,1
306,286,1
307,190,1
